,SSP585
wood_density,0.09618432566904032
root_depth,0.11931029350234014
leaf_n,0.041221139538197164
leaf_p,-0.012057902765072247
stem_diameter,-0.052556638679001566
bark_thickness,0.021393196696618735
seed_dry_mass,0.21108321300018257
leaf_k,0.05816372591525856
stomatal_conduct.,0.11441279016043701
leaf_thickness,0.00931516410216604
leaf_density,0.041238901665372495
leaf_vcmax,0.009661668486045416
conduit_diam.,0.1250284332224614
crown_diameter,0.07664767117328969
crown_height,-0.04775576822336976
tree_height,-0.1709360089933913
leaf_area,0.027469903628170644
specific_leaf_area,0.0005361966333216908
myco_association,0.10275127855708815
shade,-0.18331771520835727
drought,0.15148137628704061
cold,-0.28449866875543894
water,0.02179679251834678
fire_tol,0.05094336645312063
