pid,lat,lon,euclidean_distance
p580957,35.81597679,-109.2878981,11.859806413768204
p1044258,35.81640932,-108.9580451,4.2771732943819725
p1027974,35.8164227,-106.8125753,6.716399617190655
p189113,35.81651188,-118.3407651,5.049591983754146
p607805,35.8166947,-109.3967314,3.3045634680656315
p99657,30.14644829,-85.08336699,11.292378542824903
p574808,35.81722979,-109.5058947,5.639738689018359
p577869,35.81756868,-113.8581022,17.44764083076178
p953050,35.81768016,-82.12869529,5.290733357650013
p1363146,35.81776488,-88.61622803,6.887769913430167
p582385,35.81803689,-111.7113794,6.3833050487286505
p579519,35.81821971,-109.337956,2.3026135341803804
p1027980,35.81829552,-106.4783479,7.574497796345449
p1362641,35.81900897,-83.73440866,6.500845839002995
p586259,35.81903127,-111.9571383,12.986741661824714
p1027007,35.81906248,-105.8374502,5.22913241540948
p1376896,35.81959312,-85.05142199,7.6057980407391454
p1546484,30.14707702,-96.19101893,5.62900166678812
p1026570,35.82073019,-106.1761992,6.178241814523562
p579142,35.82097544,-111.8401538,5.812593767326282
p996953,35.82100219,-82.1653268,4.915867275689464
p1385773,35.82110475,-88.14907031,5.640918369451348
p585941,35.82122515,-111.7789348,7.870241604238286
p999539,35.82157296,-82.40778596,3.3232961184342056
p1377962,35.82246478,-87.93340589,7.443385681061546
p99406,30.14747834,-84.99146046,7.616288012391597
p657030,35.82345024,-91.96968606,8.492855429539578
p1546508,30.14762995,-95.64864955,3.9462657164315496
p646614,35.8253186,-93.21348095,7.67751041978646
p1382716,35.82536765,-85.69582452,6.376898839934567
p580525,35.82543454,-109.9429891,5.8586228629126635
p1497751,30.14790642,-93.98770129,6.811862514222768
p608357,35.82581356,-111.9454956,13.559627160002544
p1006499,35.82670984,-105.5570708,4.940086097910871
p1362856,35.82674997,-87.28565011,5.730347395767302
p1010437,35.82747681,-106.4399372,4.466769541863324
p1375980,35.82760166,-86.21685264,4.253349420034573
p1383003,35.82786921,-83.20350809,5.038856983799602
p585940,35.82798069,-111.8465348,5.968572200473553
p657215,35.82803865,-93.16368171,6.617779082563702
p576212,35.82814567,-112.2158197,6.477440214502314
p1360755,35.8281858,-87.61125367,6.161634467941758
p1388803,35.82843997,-89.48935123,8.963655699774787
p953981,35.8286005,-81.12274438,7.376474021907842
p1042257,35.82896169,-105.2750193,12.534904277807367
p999675,35.82910438,-76.96791455,6.780682583040346
p1040679,35.82946111,-104.2266445,11.291628311523798
p1380440,35.82946557,-87.07150179,5.869601302544306
p646495,35.82963055,-92.34059409,6.810489605576687
p1025391,35.82973311,-105.7213129,5.696447610436113
p1025394,35.82975095,-105.5474927,3.921912318075344
p1042789,35.82975541,-105.4993924,5.1360767312316815
p1361156,35.82986688,-83.55435016,4.002135731477104
p1006037,35.82993377,-105.7185438,5.327108253352419
p1377631,35.82996944,-88.25320816,3.509126397565057
p1383159,35.83029496,-89.64007331,5.147585505584168
p1035566,35.83051345,-105.827328,5.884892797371671
p584376,35.83064723,-109.2990459,12.950439451965432
p584378,35.83071411,-109.1805943,11.761807762865313
p646909,35.83075425,-93.11376654,8.969378751785728
p1387691,35.83084789,-87.2215327,5.360137657527518
p1025393,35.83122691,-105.6150436,4.738207390267299
p1035446,35.83228818,-105.437179,6.755646785211225
p1007012,35.83314432,-105.7715447,3.3512912711327814
p1378147,35.83324688,-84.0884702,5.958242729320059
p646652,35.83339403,-93.27292523,6.237876800994723
p649744,35.83400047,-93.31591096,9.238726665287007
p648887,35.83536496,-92.93074719,8.158623433510913
p656086,35.8355344,-93.43232026,8.636893998276953
p656392,35.83572168,-93.58507122,8.861876346456482
p998766,35.83584654,-81.59061556,3.9968030812154622
p987518,35.83762572,-82.26643246,3.344301866595325
p1385495,35.8376391,-88.61049809,7.577762322217593
p1379299,35.83764802,-83.11782646,3.814424011816003
p996832,35.8379111,-77.2537028,4.049344740056353
p585085,35.83816973,-113.4187826,7.619863521021257
p575217,35.83848187,-109.4702442,3.680690562343535
p1025395,35.84074263,-105.5077086,4.960554349763981
p1377087,35.84133123,-83.34250718,4.667779033404873
p648448,35.84161216,-91.86417481,6.980807820268108
p1008899,35.84219184,-105.6204748,4.133696022636106
p997295,35.8425887,-82.56694912,4.18373566096309
p999285,35.84315501,-77.79566194,4.084419831880816
p987993,35.84328432,-77.04283191,7.9403938191745365
p1382762,35.84339134,-82.93624295,3.728535867571268
p1459218,35.84576804,-95.12996691,7.432171325172888
p996943,35.84583493,-82.4512622,5.443033406741011
p997668,35.84609355,-77.43057304,6.931846910482798
p1382977,35.84680701,-83.16051789,4.853306649877314
p953243,35.84718157,-75.90602423,8.674864288178828
p1490604,30.15515692,-95.00291821,8.284735282454704
p953137,35.84794408,-81.62237774,5.038791263252089
p1456719,35.84841675,-98.46347938,12.463654088274462
p1456374,35.84852822,-94.92000568,3.9432785331174247
p654164,35.84858619,-94.34683283,8.689742659728887
p646578,35.84892954,-94.0033572,9.11807676698182
p1379978,35.84991054,-82.96237328,7.993700149033832
p581458,35.85049915,-113.4354998,6.699276215557425
p1457585,35.85065967,-96.94641294,4.309470777566648
p86743,30.15553148,-81.78381503,4.18877694446967
p652655,35.851333,-93.4984621,8.624127640529275
p1384313,35.85270194,-89.51164228,7.350227352553497
p952526,35.8528268,-82.23934342,3.924414010567673
p1382599,35.85369186,-87.6913525,6.035380531533161
p99999,30.15574552,-84.19248319,5.741274378837183
p653702,35.85436073,-91.62588937,6.72027826702768
p999102,35.85444545,-76.91675082,6.846341753534152
p1383069,35.85492703,-84.50878061,5.936704707016619
p186688,35.8556717,-118.3171854,4.312154928875005
p1034352,35.85575643,-108.9490511,11.256531221717216
p999716,35.85598384,-82.02693414,7.630593653095061
p1035555,35.85634503,-105.7002838,6.754822235671645
p1388307,35.85741967,-84.93931573,6.559152044448949
p998455,35.85749993,-80.77499247,7.034486511193145
p999171,35.85813759,-76.81828496,5.85286053530664
p953207,35.85857904,-79.27568217,5.512568080274432
p607889,35.85880199,-109.2731831,11.232461766789312
p1379937,35.85911413,-84.8361901,6.762950918596868
p1556339,30.15723932,-97.04944939,5.003414887654552
p100340,30.1577209,-84.33912519,10.240906317820361
p102053,30.1582337,-84.73662283,7.938206675494167
p106822,30.15886243,-84.87128323,7.770804505544075
p1388646,35.86008621,-87.96935516,6.179262076705266
p1042461,35.86051875,-109.0025023,2.9144560429733217
p1044243,35.86108059,-106.8293549,6.069807572802251
p570547,35.86232468,-109.3927717,5.575711864283109
p582234,35.86244508,-112.048483,13.065518498912223
p997733,35.86335919,-81.88517932,6.7934042548480775
p580955,35.86365795,-109.4499285,3.360471751629943
p954233,35.86415291,-81.95056312,2.8729660786688513
p1376798,35.86442938,-85.20020881,10.386817182219072
