grid_id,TEM_mean,TEM_std,pct_TEM_mean,TEM_cv
250,0.517,0.23706740165248508,0.517,0.45854429720016454
276,3.3801428571428573,0.5398438791429466,3.3801428571428573,0.15971037377966385
277,0.7374666666666666,0.30892719174163435,0.7374666666666666,0.41890326126600214
302,7.357,0.9737971529654318,7.357,0.13236334823507295
303,1.2083255813953488,0.1463665928826652,1.2083255813953488,0.12113175052839993
304,0.8624545454545455,0.26030383481765196,0.8624545454545455,0.3018174536728335
329,5.767764705882353,0.6074011263670717,5.767764705882353,0.10530962293721921
330,2.214413793103448,0.14498280542327313,2.214413793103448,0.06547231862211407
331,0.80104,0.16482370006831062,0.80104,0.20576213431078427
332,0.8891891891891892,0.3185750319101475,0.8891891891891892,0.3582758717530534
356,7.8308,1.0040056846600318,7.8308,0.1282124029039219
357,1.7182264150943396,0.12908647248567376,1.7182264150943396,0.07512774297477334
358,0.8721538461538462,0.23038038253182974,0.8721538461538462,0.26415108245843943
359,0,0,0,0
384,1.047,0.5966598746455337,1.047,0.569875715993824
385,0.8857222222222222,0.16153353929380027,0.8857222222222222,0.18237494243796054
386,0.1912222222222222,0.08157303581574149,0.1912222222222222,0.4265876364565215
412,1.1108125,0.3220847931005798,1.1108125,0.289954238992251
413,0.5125925925925926,0.2577289398526415,0.5125925925925926,0.502794897111367
414,0,0,0,0
415,0,0,0,0
439,1.6235,0.3431300430637134,1.6235,0.2113520437719208
440,0.12644444444444444,0.14171148537003622,0.12644444444444444,1.1207410969510774
467,0.44,0.6597503626995322,0.44,1.4994326424989368
469,1.214,1.9087930694456976,1.214,1.5723171906471973
470,0,0,0,0
494,0.9449090909090909,0.38473544812525123,0.9449090909090909,0.40716662780236323
498,0.001,0.015795537281016812,0.001,15.795537281016813
521,0.0485,0.1276924458276326,0.0485,2.6328339345903626
548,3.4797142857142855,1.0074345939897202,3.4797142857142855,0.28951646924739477
549,0.108,0.16583761739061104,0.108,1.5355334943575096
552,0,0,0,0
576,0.7845714285714286,0.5484563649724211,0.7845714285714286,0.6990521767674704
579,0,0,0,0
580,0,0,0,0
602,0.16733333333333333,0.22874971177917555,0.16733333333333333,1.3670301500747544
603,1.4586666666666666,0.17131916433280586,1.4586666666666666,0.11744915287898026
606,0.394,0.48912420198753187,0.394,1.2414319847399287
630,1.0156991150442478,0.10508301833949958,1.0156991150442478,0.10345880663184565
631,0.179,0.17326003023245812,0.179,0.9679331297902689
633,0,0,0,0
634,0,0,0,0
657,0.530390243902439,0.09537822930202851,0.530390243902439,0.17982651528479576
658,2.4264,0.9548227127721938,2.4264,0.39351414143265484
659,0,0,0,0
661,0.404,0.5111815853749555,0.404,1.2653009538984046
662,0.0035,0.04019927815182576,0.0035,11.485508043378788
684,0.3450576923076923,0.05891657126069823,0.3450576923076923,0.17074411779280543
685,8e-4,0.01263642982481345,8e-4,15.795537281016811
688,0.372,0.5071898996428365,0.372,1.3634137087173024
711,1.2309503546099292,0.12111622642171593,1.2309503546099292,0.09839245422703985
712,0.6491428571428571,0.39381085600468774,0.6491428571428571,0.6066628503593341
715,0.093,0.12701679626358922,0.093,1.3657720028342928
739,0.7586433566433567,0.08758291741911664,0.7586433566433567,0.11544675986702135
740,3.003,0.8908300378369745,3.003,0.29664669924641174
744,0.098,0.33259169332522104,0.098,3.3937927890328674
765,1.506525,0.12574024054049826,1.506525,0.08346375967242381
766,2.556,0.6704573260484996,2.556,0.26230724806279326
767,0.137,0.22322782380932107,0.137,1.6294001737906647
769,0.0026666666666666666,0.03645380614128784,0.0026666666666666666,13.67017730298294
770,0.7265,0.5015734261338086,0.7265,0.6903970077547262
771,0.01,0.0700701051753068,0.01,7.007010517530681
792,5.472,3.3965112361295535,5.472,0.620707462742974
793,0.8223,0.14856599108616625,0.8223,0.18067127701102548
794,1.2805714285714285,0.24960416087740978,1.2805714285714285,0.19491623450935616
797,0.057,0.17120052347605996,0.057,3.00351795572035
798,3.341,1.7393301984034417,3.341,0.5206016756669984
821,1.813,0.4737931615376479,1.813,0.26133103228772636
822,1.508,0.41383343032292635,1.508,0.27442535167302806
823,1.962,1.997131209042677,1.962,1.0179058150064613
825,5e-4,0.011180339887498949,5e-4,22.360679774997898
826,0,0,0,0
846,1,1.4028313768031733,1,1.4028313768031733
847,0.7185714285714285,0.2186126743125547,0.7185714285714285,0.3042323499379489
848,1.5855,0.2827979833711648,1.5855,0.17836517399631965
849,0.853,0.5200306372969337,0.853,0.6096490472414229
852,0.07333333333333333,0.14297161173997813,0.07333333333333333,1.9496128873633383
853,0,0,0,0
874,0.379,0.4125522982575605,0.379,1.0885284914447506
875,2.476,0.44297819642224706,2.476,0.17890880307845197
876,1.518,0.7439419102310766,1.518,0.49008030977014266
877,0.019,0.09569385888999626,0.019,5.036518888947172
879,1,1.2834697461094893,1,1.2834697461094893
880,0.013,0.07964726847010824,0.013,6.126712959239096
902,0.36160000000000003,0.18599631517456747,0.36160000000000003,0.5143703406376312
903,2.237111111111111,0.3079885123247151,2.237111111111111,0.13767242529663434
904,0.8486666666666667,0.17652349222933447,0.8486666666666667,0.20800097277612073
905,2.814,1.0666205317344284,2.814,0.3790407006874301
907,2.346,1.0104831281642506,2.346,0.4307259710845058
909,0,0,0,0
928,6.633,1.1689927665201152,6.633,0.17623892153175263
929,4.54625,0.345606097529107,4.54625,0.07602003794976234
930,0.5233333333333333,0.2038102863478631,0.5233333333333333,0.38944640703413336
931,4.288,0.31464902354215574,4.288,0.07337897004248034
934,1.1905,0.8028847974622462,1.1905,0.6744097416734534
