,SSP370
wood_density,0.0812508222641448
root_depth,0.11579689437768774
leaf_n,0.04904586122875674
leaf_p,0.02028938209959591
stem_diameter,-0.038230162705156834
bark_thickness,0.0010777012314463971
seed_dry_mass,0.1897234070815137
leaf_k,0.0638361124172098
stomatal_conduct.,0.10896217046549016
leaf_thickness,0.003823229603176904
leaf_density,0.0466397334413353
leaf_vcmax,0.017281514376993354
conduit_diam.,0.11402183459025447
crown_diameter,0.04896155080419194
crown_height,-0.04481592180749756
tree_height,-0.14697197364077247
leaf_area,0.024681073984979016
specific_leaf_area,0.012985438544863358
myco_association,0.11023349416825665
shade,-0.1468003795753977
drought,0.11730971453258962
cold,-0.2165540341516245
water,0.030246649718272303
fire_tol,0.031956870818749254
